job_title,location,company,reviews,ratings,date,sponsoredby,summary,job_link
Data Analyst,"Bengaluru, Karnataka",Increasingly Technologies,0,0.0,6 days ago,,"Increasingly is an award-winning, fast-growing retail technology company focused specifically on the automation of cross-selling for online retailers.",https://www.indeed.co.in/company/Increasingly/jobs/Data-Analyst-c08286990886a33a?fccid=455e023f7b13fe68&vjs=3
Data Analyst - Customer Obsession,"Bengaluru, Karnataka",Uber,0,0.0,3 days ago,,"Data Analysts work closely with Product, Data Science, Engineering, and Operations on fast moving, high-stakes problems.",https://www.indeed.co.in/rc/clk?jk=a05128fd72a59204&fccid=f766f8bfbc3effb7&vjs=3
Business Research Data Analyst,"Bengaluru, Karnataka",DuckerFrontier,0,0.0,22 hours ago,,"The Data Analyst is responsible for data collection tool design & programming, managing respondent databases, managing panel data collection efforts, data…",https://www.indeed.co.in/rc/clk?jk=8028de366fb34303&fccid=9c4d94664a7bb393&vjs=3
Data Analyst,"Bengaluru, Karnataka",American Express Global Business Travel,0,0.0,15 days ago,,"Requires the ability to transfer, assess, analyse & intelligently enter data taken from one data source to another, either via manual duplication or by means of…",https://www.indeed.co.in/rc/clk?jk=3755a701029db76f&fccid=65a610215742c669&vjs=3
Sr. Data Analyst,"Bengaluru, Karnataka",TARGET,0,0.0,,Target Corporation,"Excellent knowledge of database management, data extraction and manipulation skills.
Expertise in developing and transforming large data sets in Hadoop.",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1nCGA-im3c4lgntbkPrUhn0MUCqHQfBGSPMwLfRyc1nBp8EI3dBSOsTUA7gh_lZbHnOIijaiMtSmjo76N0L07tRr3dErYm9v6hHlMWIQJu5Zk45whZfIBMwWE2NXYuC2gGDF5Mw2w5Khn0k4UfPlLlLQghdabnGaSYrOc82_tisZajuJ1TbIlkhGW8qccuGMfpHOl8uFlvSNnKu2d6GK80tPw-rzNo3w0dgqJ2zLS0COSaS7nq8G7y9f3kd2WVKuBsgmoSGmlv7m_eGnWxX8yTCa_HSeNlT9rKhN8yEDONe8iLW2Fm4xOBIaWyVrxafWqwGeGw_OlxbD241qMNQwpSXfNu87rh2VEymh04ouAmnn5VxywrB-23tqaKi1VtfUwetDjpRWF7RdLSL0cVS_PBGD4QGIctBFgw1KWUS334zTSbi6S7OMJ_xeifC7SKkXL-IgQEXcyKNn9LdNMvmVzLhBJNyCmMYQsD_Jj-RV6D6JZNS2WBmzQ1Go9dydeNk8E3dIZZlw7PTedc3jlJl89LQlQBNHWHG7agAXhEnYasvx8bNN6Uai4Pg7jSNJbOcjg01eb5whFxhlTvUKW0iVbnEDVZEpTXbPTLl8lQTwD0ORREBKl2Y9UcE-9pVMvjRujBGMop1xvgMqlJJ7pT8GUyD4FG-f4TMFtmmvdB1UAiGuCyUUaCsitZrW5BQWZrqwrmWM0DyX5-0-iXTloL_iEiVpnB8lczxkegiWjsb9RTkWuOK3fiLUj6lu1qFUNxfuAH0Y1og2Sux7cNQcwErM3lmjU_qWqXGxUA_0-PxPptYHdMxJ_E5eVRuB0T1a6eZde1SoIXId85VMw8id6tyxMDLxzLmAACl4xWGwLrNyGZMOG_KXjD3Gn9WMVljMmaMq0gbeF5GsEs8RUdr1bf34DUEFd57S6q0WZbwZkHlmupuS-LgGImFFkRsbDSfcoCuXRi9E4OArYw==&p=14&fvj=0&vjs=3
"Data Analyst - SQL,Python,Modeling","Bengaluru, Karnataka",TARGET,0,0.0,,Target Corporation,"As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap.
1+ years of relevant experience.",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1nCGA-im3c4lgntbkPrUhn0MUCqHQfBGSPMwLfRyc1nBp8EI3dBSOsTUA7gh_lZM9F_ACycwAkZ2r5gUNzcm5wV277JmCl3ny8jjfSC2TbvWw7XJiu2Y6XI2--XFge6ilPls50vU9M6r_qj-dN4iFqf1TxfWGXW6jywRY047P2AAiWdL5MnXn3DoKGjap4_64Mo_9B54p34fjqEfT9Gg71USskZBOGapcuk5SVAwfxrKo3Drff-YW8XMKGIleZfJU5ClFD_lEQvyCer3jXq04iWXlvj6KriX0XKtxiGO00eY0ydCkGq-gEW3iAQXHm-Rv2TdY58tobNiLOPY1ruw4gcxyJWLjaKrKOLVopMbQNah9HOUx_jfWbhqcAQ_EWCwxOZJfcoG0Pg17g1FLxTjXHxfoOjgo1Jd0LScAhuE9Td7iHqP3vha09NQM3BsgDh-2JsaU6EI1GrI37RmLGtvLhMaUNODUJTlrfmiAPFQGcQQ_Vch2Bqj420IQoQy-H0qB2fi_uEAxpG5enZdgNES4egnzOqu1SBash-4741nzugfUYNW5LqMLj0KkWoGEN1fP93oJveq9hiK9mq_l-JVmeajqs8jvaoaWYtCSYYAA5ETzTxW4uRz5rOKwuSUn97E80vn2YyQxStcms_HKFX9a3FprHUzsQhJ0yhPRIs5bTZ6Y98cDz1l4g5Ss2ry3Dmmw2BEL-s6osOD85eB23JfZro2WKVVBwfIvEaMIaPGBFS9KW7ROhJXw0WeXHrMNJ5kgI9VOyVNll98nHkQNhjSJQ1Fzt9JInk4ruEky2hdGniWqnKJ-NG9CojtSlYDx9mcP3NQOcAjFnJhcHTX3sLlnWJjbUejFh88BrzVMiQ8oU74eCPYJldpw01BViCFPGP5A0ri0zE0SUAIn_FiWo3QcVuxuz4PBxGckzgv1z4bYnYumcXBPyTtLCMCVcpe_Ol0j2VLnW1sCg==&p=15&fvj=0&vjs=3
Sr. Data Analyst,"Bengaluru, Karnataka",TARGET,0,0.0,,Target Corporation,"Excellent knowledge of database management, data extraction and manipulation skills.
Expertise in developing and transforming large data sets in Hadoop.",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1nCGA-im3c4lgntbkPrUhn0MUCqHQfBGSPMwLfRyc1nBp8EI3dBSOsTUA7gh_lZbHnOIijaiMtSmjo76N0L07tRr3dErYm9v6hHlMWIQJu5Zk45whZfIBMwWE2NXYuC2gGDF5Mw2wwbscQ_Gmvus6-SNPbvwgQAPhSGxdACIT58xqI5G-N7m_o77wu4kEiBYlZNGrusgL2IIUJQCU9f3aF9KJzisxMJJtwxTYqPB5Mmk5QYedmPNhB0KN8rShAdX8fiLWtb1pVUSlg6nyWWA38NBDwRnCre0vtcQxz9OSdymtWOd_w5c1FFWJ9Q2b6ShVTk5MTN0z56RD_6ToQYNiNsmjX2yxzNP9plmt7cv2llrY6L5m63ofpG2MzGGzNNo-nLQ4Qt1xycvtQsZ_rh5N5OdR3kQjOu1XgHvlIXEC-i43F12P0RrCDT0jm4twp9XQNPUoqJoDltw970fZpMSMYYl2xnrNuEfYYCa8u2Igm65YZAzSX3uywW-P-rBbaT55nz5GPbbQS5mPHR47hVCwQqJHlUAunpMWA0vTIPFb3iRWt8f8FenNgzlG--Tef8rzeATwO4pfnY6iMUdPMdm3T_tEhjVoJgD8VQAwNZTvIr-Ls2_y-RikC00m7Yl8mi1QCc6nt5taMklixvSOkv9GIAn4QluwWflLi-rhsBEUmoKoat2rMJe7TqqNnOlg_5BR889mM6sK4sDFZ41athUsMsJ6ssEfxjXsxI3JIw4BhVmqNh0l8H5FjJWNB1fBjtUxEwIe77nap5RYT96_2gagco3wVM5k70pLlGPwu2CG2YJYdJ_Tj_Y904p6JA0BluxMjD7N2ht30kXx3rJpCJWaKHZCTFP786FE4G3BrpbgPBmbygDXOWqUKyACKWKNORfsO7lo5mz94BCCHjEj6sDPD3H1I8Hql1YN5eacXbYV30o2xCCkScXDI4lXWMjJ14AANg-tjC6cw==&p=0&fvj=0&vjs=3
"Data Analyst - SQL,Python,Modeling","Bengaluru, Karnataka",TARGET,0,0.0,,Target Corporation,"As Data Analyst, DSA you will work closely with business/product teams and understand their priorities/roadmap.
1+ years of relevant experience.",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1nCGA-im3c4lgntbkPrUhn0MUCqHQfBGSPMwLfRyc1nBp8EI3dBSOsTUA7gh_lZM9F_ACycwAkZ2r5gUNzcm5wV277JmCl3ny8jjfSC2TbvWw7XJiu2Y6XI2--XFge6ilPls50vU9CLMDHP0JRF2o13sbrCncOgN0DTWhET1f0nbrcytJAUUqaHXIxhOCyaTROw-MaSjR0UIx0zWyt6ilyfbihlJ5Xe53A1gGfxJRBnmq1GOrs5S02SzlzEdm-8nF5Nv11d7fv-AsDjK1tR9xrvGvRcylGIvhAA3rquUgnGmQ3RtiLLSqgmIqM5U9NjG_y3FoXbtz_qCtFeH3tMsW-579_We3BhDF7qdxlcmhPMflLEFPhFDbXg0TqcfbpfSiW46U_In469tYqIse6aCWvM-rtRdgnWa6ddC8Y8oV4UIpXKK6PFHoNRSGc4S0dtj7gwkJj1MOIANDMZWaPRpwfLEwv2Eao8fkb2bxXwvj_adgz6-oziUC_aRHTQQZ-2UJjWLOXtQnL4bdf93aKBFefG_gr7FVX1t2n-IVXC2E9rDRkttWpG4_S1SEaWA5j2CTVQ0-6FY71fW0zUiBdhv8rv7xSkzCqfiW9E2VSUoI-ae954kJelzsSK3RL3VpBBUWxwh3359HU5HvkduX19urNwUuUJl_2iY8tBzwqUnz2M_e62rKgdkKaR2SRBs9eLeD9vLvgFp9hsmfmBtHoaFa2nBoKlpUlE7ssFoBNOb65oXAmEH6Nq400Y_9aI6pfw3ojAgtZHN9_kVtNrqbOd5mWogu_UTbCFCvuwVACV4GWwqlyrxcMN7o1U-nxpmt2ms2YfrC_wnt63VvadT7Q08iLuGNMFPCxlSsEB3S4qzPf1k8SrdrR6oyfmF7uLKGqY1ricSK-yZg4AEA_xTNgOqHU98CE31JH_eUqCiKBF52Wy2zhwzaVUoVvjGO659q75GJ1Mv2gkT8w==&p=1&fvj=0&vjs=3
Pricing Analyst,"Bengaluru, Karnataka",TARGET,0,0.0,,Target Corporation,"LOS, productivity, data accuracy) for the team.
S • Data analysis & reporting skills • Ability to develop effective partnerships.
And basic knowledge in Domo.",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1nCGA-im3c4lgntbkPrUhn0MUCqHQfBGSPMwLfRyc8VeRz8gXrErNgOTBvndwLHPasP46gKV86o0Y-L--CmYM4ZZUuEE_MOL3iZFDIlTfMs2H9BYSH8s3w2asAE0XdUl8alEC-sxWrDQPmLzQ3WGM_9y3zLXON4MbYyhrRyxNtz3TPmgIXh1Tf3vgMQdGQc6qj4hWWDCrxxn1IQQjMz4aBOzEgY2MXR63uU-s3CQlsupU66eIVtFhx8meRMH--vqf4U6l8E29tPlUIUU0WDnFaGk-YyEzngH4qX_COex_fhxx3LeEs4vj4I3L7fbxbLcdvNClj1Qv_0Dbn1h8Do2tx3TAH6yj_7kzACigKhHDLA0ZKEXdyfp0rjvwys5oVQoBiWh7MW90OaFlBlql_oT_8tUleaRwOc4XFk0B9iR4fYeZitR5jIcOyjTYWGDpHVB7wwFf9Aj2Hk7KlM3JXrZkWcUq52vtoUeuIUtDutFxT5S98KDQOQ9DDzICy3jo1SFUJ7oZyMXGfpweODy-Cc7xcO_k2QdCPxCFj1dudMbbHl7iKYH6yEk-gnYDOUSdf1IoAXzllgxniI_GMTxUXrZiK8xeEiNLeGHk81jQEudqOLDj9m8PGnxhysEMmFrd4F3opFf3EI2I5Hfk8ycuCNGnd_6g_Rbbxlijcs5As-eum9ZM5kbZjUItdTXxvLAHQ0oEQwQ1p-mcMQpGB5Z5O2GOxAemUvfDu3ClFWgiKyfFn-cM7mFM5ujwaeiwfiSWV-UywPce2OyPEF2MoY2QduEzuqAtZ_VV4hv5IsjamX1S-TbbtEuONFyh2oQgMcmb79aGEbWzRrPZUolPDfxAlAqlws0k3obHhShUXc-K_-qn7P129FZSDmUVumb2eE6RJsEiJg3IE6eaHg-NMI4HEVA0GCSI6xVJEokheu7XkKbJY9q1_WnbhLF8m5G0EUBaDYNJg_udZjCxVgqAZMAVEe7&p=2&fvj=0&vjs=3
Reference Data Operator - Analyst,"Bengaluru, Karnataka",Deutsche Bank,0,0.0,11 days ago,,Role Description Responsible for verification of Clients Standard Settlement Instructions Sourcing Clients contact numbers through independent external…,https://www.indeed.co.in/rc/clk?jk=fa172ad4525ddec1&fccid=f1d8e147024abb3f&vjs=3
